path,title,type,status,category,first_heading,has_frontmatter
templates/BEHAVIORS.md,,,,,Behavioral Hooks,no
templates/BUILDING-BETTER.md,,,,,Building Better: System Extension Guide,no
templates/CONVENTIONS.md,,,,,Development Conventions & Standards,no
templates/HANDLERS.md,,,,,System Handlers Registry,no
templates/MATRICES.md,,,,,Decision Matrices,no
templates/PATTERNS.md,,,,,System Patterns Library,no
templates/PROJECT-BLOG.md,,,,,Animal Protection Foundation Blog - Project Configuration,no
templates/REGISTRY.md,,,,,Claude Template System Registry - REFINED v2.0,no
templates/TOOLS.md,,,,,Codex Tooling & Command Router,no
templates/USER-GUIDE.md,,,,,Claude User Guide,no
templates/WORKFLOWS.md,,,,,Universal Development Workflows,no
templates/behaviors/file-operations/before-create.md,,,,file-operations,Before Creating New Files,yes
templates/behaviors/file-operations/before-edit.md,,,,file-operations,Before Any File Edit,yes
templates/behaviors/git/before-commit.md,,,,git,Before Commit (gac Format),yes
templates/behaviors/index.md,Behavioral Hooks System,index,,,Behavioral Hooks System,yes
templates/behaviors/planning/plan-compliance.md,,,,planning,Plan Compliance Behavior,yes
templates/behaviors/session/compaction-detection.md,,,,session,Session Compaction Detection [DEPRECATED],yes
templates/behaviors/session/compaction-preparation.md,,,,session,Compaction Preparation Behavior,yes
templates/behaviors/session/session-end.md,,,,session,Session End Behavior,yes
templates/behaviors/task-management/todo-write.md,,,,task-management,Todo Write Enforcement,yes
templates/behaviors/timestamps/before-adding.md,,,,timestamps,Before Adding Timestamps,yes
templates/behaviors/validation/evidence-claims.md,,,,validation,Evidence Before Claims,yes
templates/behaviors/work-tracking/update-tracker.md,,,,work-tracking,Work Tracking Updates,yes
templates/conventions/code-style/general.md,Language-Agnostic Style Rules,convention,stable,code-style,General Code Style Rules,yes
templates/conventions/code-style/javascript.md,JavaScript Specific Conventions,convention,stable,code-style,JavaScript Code Style Conventions,yes
templates/conventions/code-style/typescript.md,TypeScript Specific Conventions,convention,stable,code-style,TypeScript Code Style Conventions,yes
templates/conventions/docs/comment-format.md,Code Comment Conventions,convention,stable,docs,Code Comment Format,yes
templates/conventions/docs/documentation-standards.md,General Documentation Format,convention,stable,docs,Documentation Standards,yes
templates/conventions/docs/readme-format.md,README Format Standards,convention,stable,docs,README Format Standards,yes
templates/conventions/files/directory-structure.md,Project Directory Structure,convention,stable,files,Project Directory Structure,yes
templates/conventions/files/organization.md,General File Organization Principles,convention,stable,files,General File Organization Principles,yes
templates/conventions/files/special-files.md,Special Files (sessions/, TRACKER.md, HANDOFF.md),convention,stable,files,Special Files Convention,yes
templates/conventions/git/branch-naming.md,Branch Naming Standards,convention,stable,git,Branch Naming Standards,yes
templates/conventions/git/commit-format.md,Git Commit Format (gac),convention,stable,git,Git Commit Format (gac),yes
templates/conventions/git/pr-conventions.md,Pull Request Format and Standards,convention,stable,git,Pull Request Conventions,yes
templates/conventions/naming/files.md,File Naming Standards,convention,stable,naming,File Naming Standards,yes
templates/conventions/naming/functions.md,Function Naming Patterns,convention,stable,naming,Function Naming Patterns,yes
templates/conventions/naming/variables.md,Variable Naming Conventions,convention,stable,naming,Variable Naming Conventions,yes
templates/conventions/testing/test-naming.md,Test File and Function Naming,convention,stable,testing,Test Naming Conventions,yes
templates/conventions/testing/test-structure.md,Test Organization and Structure,convention,stable,testing,Test Structure Conventions,yes
templates/conventions/timestamps/format-rules.md,ISO 8601 and Other Timestamp Formats,convention,stable,timestamps,Timestamp Format Rules,yes
templates/conventions/timestamps/usage-patterns.md,When and Where to Use Timestamps,convention,stable,timestamps,Timestamp Usage Patterns,yes
templates/conventions/work-tracking/folder-structure.md,Work Folder Format (YYYYMMDD-name-STATUS),convention,stable,work-tracking,Work Folder Structure Convention,yes
templates/conventions/work-tracking/handoff-format.md,HANDOFF.md Format Standards,convention,stable,work-tracking,HANDOFF.md Format Standards,yes
templates/conventions/work-tracking/tracker-format.md,TRACKER.md Format and Required Sections,convention,stable,work-tracking,TRACKER.md Format Standards,yes
templates/coordination/enforcement-enhancement-session.md,,,,,Enforcement Enhancement Coordination Session,no
templates/coordination/session-integration-collaboration.md,,,,,Session System Integration Collaboration,no
templates/coordination/session-swhe-integration.md,,,,,Session-SWHE Integration Collaboration,no
templates/coordination/specialist-collaboration-session.md,,,,,Specialist Collaboration Session - Real-Time Discussion,no
templates/engine/MODULARIZATION-COMPLETE.md,,,,,CLAUDE.md Modularization Complete,no
templates/engine/README.md,,,,,Claude Execution Engine - Modular Components,no
templates/engine/activation/context-aware.md,,,,,Context-Aware Activation,no
templates/engine/core/codex-readiness.md,,,,,Codex Readiness Checklist,no
templates/engine/core/enforcement-check.md,enforcement-check,critical-enforcement,,,🚨 CODEX ENFORCEMENT GATE 🚨,yes
templates/engine/core/pre-ultrathink.md,pre-ultrathink-protocol,critical-enforcement,,,🚨 PRE-ULTRATHINK PROTOCOL (CODEX) 🚨,yes
templates/engine/core/session-resolver.md,session-resolver,engine-component,,,Session Resolution Engine,yes
templates/engine/core/ultrathink-protocol.md,ultrathink-protocol,engine-component,,,🧠 ULTRATHINK (CODEX EDITION),yes
templates/engine/debugging/system-debug.md,,,,,System Debugging Protocol,no
templates/engine/enforcement/behavioral-hooks.md,behavioral-hooks,engine-component,,,BEHAVIORAL HOOKS (How I Actually Work),yes
